optionsListName,optionCode,optionValue,optionDisplayText
CustomerType,Individual,,Individual
CustomerType,Organisation,,Organisation
UserType,Staff,,Staff
ApplicationUserType,Staff,,Staff
BooleanString,TRUE,,TRUE
BooleanString,FALSE,,FALSE
City,HYD,,Hyd
City,MUMBAI,,MUM
ResidentState,TS,,TS
ResidentState,AP,,AP
EmploymentType,Permanent,,Permanent
EmploymentType,Temp,,Temp
EmployeeStatus,GradeA,,GradeA
EmployeeStatus,GradeB,,GradeB
UserType,Admin,,Admin
UserType,SelfService,,SelfService
PrivilegeType,Create,,Create
PrivilegeType,Search,,Search
PrivilegeType,View,,View
PrivilegeType,Update,,Update
PrivilegeType,Delete,,Delete
PrivilegeType,Verify,,Verify
DurationUnitType,YEAR,,YEAR
DurationUnitType,MONTH,,MONTH
DurationUnitType,WEEK,,WEEK
DurationUnitType,DAY,,DAY
DurationUnitType,HOUR,,HOUR
DurationUnitType,MINUTE,,MINUTE
DurationUnitType,SECOND,,SECOND
FirstRunDateCalculationMethod,FORWARD,,FORWARD
FirstRunDateCalculationMethod,BACKWARD,,BACKWARD
LayoutParameterValueType,USER_ID,,USER_ID
LayoutParameterValueType,ENTITY_ID,,ENTITY_ID
LayoutParameterValueType,NOTIFICATION_START_DATE,,NOTIFICATION_START_DATE
LayoutParameterValueType,NOTIFICATION_END_DATE,,NOTIFICATION_END_DATE
NotificationMedium,USER_ID,,USER_ID
NotificationMedium,NOTIFICATION_START_DATE,,NOTIFICATION_START_DATE
NotificationMedium,NOTIFICATION_END_DATE,,NOTIFICATION_END_DATE
TaskType,Notification,,Notification
TaskType,APICall,,APICall
FirstRunType,Immediate,,Immediate
FirstRunType,SpecifyDate,,SpecifyDate
FirstRunType,Manual,,Manual
FirstRunType,UseRelativeDate,,UseRelativeDate
TaskTimeCalculationType,Immediate,,Immediate
TaskTimeCalculationType,UseRelativeDate,,UseRelativeDate
YesNoOption,Yes,,Yes
YesNoOption,No,,No
Gender,Male,,Male
Gender,Female,,Female
Gender,Other,,Other
CustomFormFieldDataType,String,,String
CustomFormFieldDataType,Integer,,Integer
LocationType,Rural,1,Rural
LocationType,Urban,2,Urban
Grade,A,,A
Grade,B,,B
Grade,C,,C
LocationContext,US,,US
LocationContext,India,,India
DegreeTypeContext,ThreeYear,,ThreeYear
DegreeTypeContext,FourYear,,FourYear
EmploymentTypeContext,Permanent,,Permanent
EmploymentTypeContext,Contract,,Contract
PaymentStatus,Pending,,Pending
PaymentStatus,Completed,,Completed
QueueType,PendingUpdates,,PendingUpdates
QueueType,Notifications,,Notifications
BuyerType,Organisation,,Organisation
BuyerType,Individual,,Individual
UpdateType,EnableAccess,,EnableAccess
UpdateType,DisableAccess,,DisableAccess
SellerDataSourceType,Buyer,,Buyer
SellerDataSourceType,Agent,,Agent
