customApiName,parameterName,columnDataType,isPageTotalAttribute,sectionName,parameterValueToShowSection,EnablePublicAccess,ShowImage,applyTimeZone,isDataClassifier,isDataPoint,serializableName,collectionType,dataSource,isIdAttribute
,,,,,,,,,,,,,,
createNewStaffUser,UUID,Long,,,,,,,,,,,,
,,,,,,,,,,,,,,
retrieveUserInfoList,EmailId,String,,,,,,,,,,,,
,ContactNo,String,,,,,,,,,,,,
END,UserInfoUUID,String,,,,,,,,,,,,
,,,,,,,,,,,,,,
viewProfile,FirstName,,,,,,,,,,,,,
,LastName,,,,,,,,,,,,,
,EmailId,,,,,,,,,,,,,
END,ContactNo,,,,,,,,,,,,,
,,,,,,,,,,,,,,
viewUserProfile,FirstName,,,,,,,,,,,,,
,LastName,,,,,,,,,,,,,
,EmailId,,,,,,,,,,,,,
END,ContactNo,,,,,,,,,,,,,
,,,,,,,,,,,,,,
validateLoginDetails,ResponseCode,String,,,,,,,,,,,,
,NextInput,String,,,,,,,,,,,,
END,ResponseMessage,String,,,,,,,,,,,,
,,,,,,,,,,,,,,
retrieveProfileDetailsSSStaff,FirstName,String,,,,,,,,,,,,
END,LastName,String,,,,,,,,,,,,
,,,,,,,,,,,,,,
updateEmployeeAllDetails,EmployeeUUID,String,,,,,,,,,,,,
,,,,,,,,,,,,,,
retrieveEmployeeBasicDetails,FirstName,,,,,,,,,,,,,
,LastName,,,,,,,,,,,,,
,EmailId,,,,,,,,,,,,,
END,EmployeeUUID,String,,,,,,,,,,,,
,,,,,,,,,,,,,,
retrieveEmployeeBasicDetailsList,FirstName,,,,,,,,,,,,,
,LastName,,,,,,,,,,,,,
,EmailId,,,,,,,,,,,,,
END,EmployeeUUID,String,,,,,,,,,,,,
,,,,,,,,,,,,,,
retrieveEmployee,Experience,Long,Yes,JobDetails,,,,,,,,,,
END,EnableJobDetails,,,,,,,,,,,,,
,,,,,,,,,,,,,,
retrieveEmployeeList,Age,Number,,,,,,,,,,,,
,,,,,,,,,,,,,,
getApiCustomFormFieldList,Name,,,,,,,,,,,,,
,Label,,,,,,,,,,,,,
,DataType,,,,,,,,,,,,,
,ApiName,String,,,,,,,,,,,,
END,CustomFormFieldUUID,String,,,,,,,,,,,,
,,,,,,,,,,,,,,
retrieveFaculty,PublicPic,,,,,No,,,,,,,,
END,PrivatePic,,,,,Yes,,,,,,,,
,,,,,,,,,,,,,,
getStudentGraphData,FirstName,,,,,,,,Yes,,,,,
END,Age,,,,,,,,,Yes,,,,
,,,,,,,,,,,,,,
getFacultyUsingReqParams,FirstName,,,,,,,,,,,,,
END,LastName,,,,,,,,,,,,,
,,,,,,,,,,,,,,
getFacultyUsingReqModel,FirstName,,,,,,,,,,,,,
END,LastName,,,,,,,,,,,,,
,,,,,,,,,,,,,,
handleClientRequestWithReqParams,FirstName,String,,,,,,,,,,,,
END,LastName,String,,,,,,,,,Last-name,,,
,,,,,,,,,,,,,,
handleClientRequestWithReqBody,FirstName,String,,,,,,,,,,,,
,LastName,String,,,,,,,,,,,,
END,DateOfBirth,String,,,,,,,,,date-of-birth,,,
,,,,,,,,,,,,,,
retrieveSalesInvoice,NetAmount,BigDecimal,Yes,,,,,,,,,,,
,,,,,,,,,,,,,,
retrieveStudent,Faculty,,,,,,,,,,,,,
,,,,,,,,,,,,,,
retrieveStudentListForFaculty,FirstName,,,,,,,,,,,,,
,LastName,,,,,,,,,,,,,
END,Gender,,,,,,,,,,,,,
,,,,,,,,,,,,,,
retrieveStudentExamResultListForFaculty,Student,,,,,,,,,,,,,
,ExamName,,,,,,,,,,,,,
END,Marks,,,,,,,,,,,,,
,,,,,,,,,,,,,,
retrieveFlexField,MaximumColumnsCount,,,,,,,,,,,,,
,,,,,,,,,,,,,,
retrieveFlexfieldContextSegmentsMap,FlexfieldCode,String,,,,,,,,,,,,
END,ContextValueList,ContextValueDto,,,,,,,,,,List,,
,,,,,,,,,,,,,,
retrieveStudentListWithJoin,FirstName,,,,,,,,,,,,,
,LastName,,,,,,,,,,,,,
,SectionName,String,,,,,,,,,,,Section.Name,
END,ClassName,String,,,,,,,,,,,Section.ClassInfo.Name,
,,,,,,,,,,,,,,
makeFeePayment,StudentFeePaymentUUID,String,,,,,,,,,,,,
,GatewayName,String,,,,,,,,,,,,
,PaymentDetails,PaymentDetails,,,,,,,,,,,,
END,GatewayInfo,String,,,,,,,,,,,,
,,,,,,,,,,,,,,
addNumbers,Sum,Number,,,,,,,,,,,,
,,,,,,,,,,,,,,
multiplyNumbers,Sum,Number,,,,,,,,,,,,
,,,,,,,,,,,,,,
retrieveMaleGenderStudents,FirstName,,,,,,,,,,,,,
,LastName,,,,,,,,,,,,,
END,Gender,,,,,,,,,,,,,
,,,,,,,,,,,,,,
getUpdatedApiParameters,ApiParameters,ApiParameterInfo,,,,,,,,,,List,,
,,,,,,,,,,,,,,
getSellerDataForRegistration,FirstName,,,,,,,,,,,,,
,LastName,,,,,,,,,,,,,
END,DispatchAddress,,,,,,,,,,,,,
